miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
(`hsa-miR-125b-5p` + `hsa-miR-218-5p` + `hsa-miR-218-5p`)	PRAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.284149130116184 ( Common lymphoid progenitor_XCELL(-0.284149130116184) ) Pró-tumoral: 0.464252460202644 ( Cancer associated fibroblast_XCELL(0.464252460202644) ) Dualista: -0.209544459041819 ( T cell CD4+ Th2_XCELL(-0.253628429710814), Myeloid dendritic cell resting_CIBERSORT(-0.245412707267071), Hematopoietic stem cell_XCELL(0.289496677936066) )
(`hsa-miR-126-3p` + `hsa-miR-126-5p`)	PCPG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.81694363692319 ( Endothelial cell_XCELL(0.81694363692319) ) Dualista: 0.065512993191704 ( Hematopoietic stem cell_XCELL(0.579761457859853), Class-switched memory B cell_XCELL(-0.514248464668149) )
(`hsa-miR-126-5p` + `hsa-miR-126-3p`)	KIRC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.636286683356537 ( Endothelial cell_XCELL(0.636286683356537) ) Dualista: 0.20605967468652 ( Hematopoietic stem cell_XCELL(0.488274778610751), Class-switched memory B cell_XCELL(-0.282215103924231) )
(`hsa-miR-127-3p` + `hsa-miR-127-5p` + `hsa-miR-431-3p`)	THCA	Underexpression	Variável	T cell regulatory (Tregs)_CIBERSORT, 0.291796357542174, 1, Variable	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.466158572102315 ( Endothelial cell_XCELL(-0.244212584566895), Cancer associated fibroblast_XCELL(0.418574799127036), T cell regulatory (Tregs)_CIBERSORT(0.291796357542174) ) Dualista: -0.747318932246618 ( Myeloid dendritic cell resting_CIBERSORT(0.437211106846984), Class-switched memory B cell_XCELL(0.284659324438467), B cell plasma_CIBERSORT(-0.283893399782005), T cell CD4+ memory resting_CIBERSORT(0.312566207433208), B cell memory_CIBERSORT(0.283986856774947), NK cell resting_CIBERSORT(-0.287211163464983) )
(`hsa-miR-127-3p` + `hsa-miR-127-5p` + `hsa-miR-494-3p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.349469231707156 ( Endothelial cell_XCELL(0.349469231707156) ) Dualista: 0.299844802661021 ( Hematopoietic stem cell_XCELL(0.299844802661021) )
(`hsa-miR-127-3p` + `hsa-miR-431-3p` + `hsa-miR-486-5p` + `hsa-miR-494-3p`)	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.268833259327082 ( T cell CD4+ Th1_XCELL(-0.268833259327082) ) Pró-tumoral: -0.820782513701288 ( Cancer associated fibroblast_XCELL(0.435008226458487), Endothelial cell_XCELL(0.385774287242801) ) Dualista: -0.424609635796041 ( Hematopoietic stem cell_XCELL(0.424609635796041) )
(`hsa-miR-127-3p` + `hsa-miR-431-3p`)	HNSC	Underexpression	Quente	"c(""""Macrophage M2_CIBERSORT"""", """"T cell CD8+_CIBERSORT""""), c(0.332735934961292, -0.317645112059845), c(1, 3), c(""""Cold"""", """"Hot"""")"	anti-tumoral	Anti-tumoral: 0.317645112059845 ( T cell CD8+_CIBERSORT(-0.317645112059845) ) Pró-tumoral: -1.01837175563452 ( Macrophage M2_CIBERSORT(0.332735934961292), Endothelial cell_XCELL(0.337445699924418), Cancer associated fibroblast_XCELL(0.348190120748813) ) Dualista: 0.093770046416703 ( T cell follicular helper_CIBERSORT(-0.341274039651651), Class-switched memory B cell_XCELL(-0.319741953907623), Hematopoietic stem cell_XCELL(0.324839613525151), Macrophage M0_CIBERSORT(0.24240633361742) )
(`hsa-miR-127-5p` + `hsa-miR-127-3p` + `hsa-miR-1287-3p`)	KICH	Underexpression			NS	No data
(`hsa-miR-1271-5p` + `hsa-miR-1277-3p` + `hsa-miR-128-3p` + `hsa-miR-1291` + `hsa-miR-1306-5p` + `hsa-miR-1306-3p` + `hsa-miR-1307-3p` + `hsa-miR-130b-5p` + `hsa-miR-130b-3p` + `hsa-miR-15b-3p` + `hsa-miR-191-5p` + `hsa-miR-191-3p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-203b-3p` + `hsa-miR-219a-1-3p` + `hsa-miR-219a-5p` + `hsa-miR-219a-5p` + `hsa-miR-296-3p` + `hsa-miR-32-3p` + `hsa-miR-331-3p` + `hsa-miR-331-5p` + `hsa-miR-339-3p` + `hsa-miR-339-5p` + `hsa-miR-340-3p` + `hsa-miR-345-5p` + `hsa-miR-365a-5p` + `hsa-miR-374b-3p` + `hsa-miR-4677-3p` + `hsa-miR-503-5p` + `hsa-miR-503-5p` + `hsa-miR-577` + `hsa-miR-589-3p` + `hsa-miR-625-3p` + `hsa-miR-625-5p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-744-3p` + `hsa-miR-744-5p` + `hsa-miR-767-5p` + `hsa-miR-877-5p` + `hsa-miR-9-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-940` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.352032596986679 ( Common lymphoid progenitor_XCELL(0.352032596986679) ) Pró-tumoral: -0.765932565103735 ( Endothelial cell_XCELL(-0.362983302097958), Cancer associated fibroblast_XCELL(-0.402949263005777) ) Dualista: -0.649896101533787 ( T cell CD4+ Th2_XCELL(0.279052310485204), B cell memory_CIBERSORT(-0.287622423509954), Class-switched memory B cell_XCELL(-0.32746417250703), Hematopoietic stem cell_XCELL(-0.313861816002007) )
(`hsa-miR-1271-5p` + `hsa-miR-135b-5p` + `hsa-miR-136-3p` + `hsa-miR-181c-5p` + `hsa-miR-187-3p` + `hsa-miR-203b-3p` + `hsa-miR-299-3p` + `hsa-miR-299-5p` + `hsa-miR-381-3p` + `hsa-miR-432-5p` + `hsa-miR-490-3p` + `hsa-miR-496` + `hsa-miR-675-3p` + `hsa-miR-758-3p` + `hsa-miR-944`)	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.244056854107805 ( Granulocyte-monocyte progenitor_XCELL(0.244056854107805) ) Pró-tumoral: -0.77726787833497 ( Endothelial cell_XCELL(0.243767449333852), Cancer associated fibroblast_XCELL(0.533500429001118) ) Dualista: -0.238058889876361 ( Hematopoietic stem cell_XCELL(0.489149007833661), T cell CD4+ Th2_XCELL(-0.2510901179573) )
(`hsa-miR-1271-5p` + `hsa-miR-15b-3p` + `hsa-miR-629-5p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.614359468971882 ( Common lymphoid progenitor_XCELL(0.288570249304924), T cell CD4+ Th1_XCELL(0.325789219666958) ) Pró-tumoral: -0.394336312894186 ( Cancer associated fibroblast_XCELL(-0.394336312894186) ) Dualista: -0.384113022623434 ( Mast cell activated_CIBERSORT(-0.334407732171042), Hematopoietic stem cell_XCELL(-0.412717692412337), T cell CD4+ Th2_XCELL(0.363012401959945) )
(`hsa-miR-1275` + `hsa-miR-1277-3p` + `hsa-miR-1291` + `hsa-miR-130b-5p` + `hsa-miR-191-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-32-3p` + `hsa-miR-532-3p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-671-3p` + `hsa-miR-744-3p` + `hsa-miR-744-5p` + `hsa-miR-92a-1-5p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.021722315977522 ( T cell CD4+ Th1_XCELL(0.299891358712842), Common lymphoid progenitor_XCELL(-0.27816904273532) ) Pró-tumoral: -0.261570836051144 ( Cancer associated fibroblast_XCELL(-0.261570836051144) ) Dualista: -0.136512132596801 ( Hematopoietic stem cell_XCELL(-0.394165995023015), Class-switched memory B cell_XCELL(0.257653862426214) )
(`hsa-miR-1277-3p` + `hsa-miR-128-3p` + `hsa-miR-1291` + `hsa-miR-1306-3p` + `hsa-miR-1306-5p` + `hsa-miR-1307-3p` + `hsa-miR-1307-5p` + `hsa-miR-130b-3p` + `hsa-miR-130b-5p` + `hsa-miR-15b-5p` + `hsa-miR-181b-5p` + `hsa-miR-181c-3p` + `hsa-miR-191-3p` + `hsa-miR-191-5p` + `hsa-miR-219a-1-3p` + `hsa-miR-219a-5p` + `hsa-miR-219a-5p` + `hsa-miR-296-3p` + `hsa-miR-3187-3p` + `hsa-miR-32-3p` + `hsa-miR-32-5p` + `hsa-miR-330-5p` + `hsa-miR-331-3p` + `hsa-miR-331-5p` + `hsa-miR-339-3p` + `hsa-miR-339-5p` + `hsa-miR-345-5p` + `hsa-miR-3613-5p` + `hsa-miR-3614-5p` + `hsa-miR-365a-5p` + `hsa-miR-374a-3p` + `hsa-miR-3940-3p` + `hsa-miR-421` + `hsa-miR-4677-3p` + `hsa-miR-484` + `hsa-miR-500a-3p` + `hsa-miR-500a-5p` + `hsa-miR-502-3p` + `hsa-miR-503-5p` + `hsa-miR-503-5p` + `hsa-miR-532-3p` + `hsa-miR-532-5p` + `hsa-miR-577` + `hsa-miR-584-5p` + `hsa-miR-589-3p` + `hsa-miR-589-5p` + `hsa-miR-629-3p` + `hsa-miR-660-5p` + `hsa-miR-671-3p` + `hsa-miR-744-3p` + `hsa-miR-744-5p` + `hsa-miR-877-5p` + `hsa-miR-9-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-940` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.00196533431136797 ( T cell CD4+ Th1_XCELL(0.282621174653799), Granulocyte-monocyte progenitor_XCELL(-0.280655840342431) ) Pró-tumoral: -0.50642515441973 ( Cancer associated fibroblast_XCELL(-0.50642515441973) ) Dualista: -0.73319199498356 ( Hematopoietic stem cell_XCELL(-0.394761941482855), Mast cell activated_CIBERSORT(-0.338430053500705) )
(`hsa-miR-1277-3p` + `hsa-miR-1306-3p` + `hsa-miR-1307-5p` + `hsa-miR-130b-3p` + `hsa-miR-130b-5p` + `hsa-miR-15b-3p` + `hsa-miR-15b-5p` + `hsa-miR-181b-5p` + `hsa-miR-191-3p` + `hsa-miR-191-5p` + `hsa-miR-194-5p` + `hsa-miR-194-5p` + `hsa-miR-19b-1-5p` + `hsa-miR-203b-3p` + `hsa-miR-219a-5p` + `hsa-miR-219a-5p` + `hsa-miR-32-3p` + `hsa-miR-32-5p` + `hsa-miR-330-3p` + `hsa-miR-330-5p` + `hsa-miR-331-3p` + `hsa-miR-331-5p` + `hsa-miR-339-3p` + `hsa-miR-345-5p` + `hsa-miR-3613-5p` + `hsa-miR-3614-5p` + `hsa-miR-365a-5p` + `hsa-miR-365b-5p` + `hsa-miR-374b-3p` + `hsa-miR-3940-3p` + `hsa-miR-421` + `hsa-miR-4677-3p` + `hsa-miR-500a-3p` + `hsa-miR-500a-5p` + `hsa-miR-503-5p` + `hsa-miR-503-5p` + `hsa-miR-589-3p` + `hsa-miR-589-5p` + `hsa-miR-625-5p` + `hsa-miR-628-5p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-671-5p` + `hsa-miR-940` + `hsa-miR-942-3p`)	BRCA	Overexpression	Variável	Macrophage M1_CIBERSORT, 0.218308189032677, 1, Variable	anti-tumoral	Anti-tumoral: 0.850704602664983 ( Macrophage M1_CIBERSORT(0.218308189032677), T cell CD4+ memory activated_CIBERSORT(0.318791723569172), T cell CD4+ Th1_XCELL(0.313604690063134) ) Pró-tumoral: -0.818000378845176 ( Cancer associated fibroblast_XCELL(-0.464489565969464), Endothelial cell_XCELL(-0.353510812875712) ) Dualista: -0.147150300807285 ( Mast cell activated_CIBERSORT(-0.455475187548942), Hematopoietic stem cell_XCELL(-0.478972101942082), Macrophage M0_CIBERSORT(0.180203743586429), T cell CD4+ Th2_XCELL(0.60709324509731) )
(`hsa-miR-1277-3p` + `hsa-miR-15b-3p` + `hsa-miR-15b-5p` + `hsa-miR-191-3p` + `hsa-miR-331-3p` + `hsa-miR-365a-5p` + `hsa-miR-484` + `hsa-miR-589-5p` + `hsa-miR-629-3p`)	THYM	Unchanged	Variável	"c(""""Macrophage M1_CIBERSORT"""", """"Macrophage M2_CIBERSORT"""", """"NK cell activated_CIBERSORT""""), c(-0.631706010017398, -0.597460314033194, -0.526586237085986), c(1, 1, 3), c(""""Cold"""", """"Cold"""", """"Variable"""")"	dualista	Anti-tumoral: 0.601843070672801 ( Macrophage M1_CIBERSORT(-0.631706010017398), Granulocyte-monocyte progenitor_XCELL(0.496485687630353), Common lymphoid progenitor_XCELL(0.672935170130068), T cell CD4+ Th1_XCELL(0.590714460015764), NK cell activated_CIBERSORT(-0.526586237085986) ) Pró-tumoral: 0.0119882104781031 ( T cell regulatory (Tregs)_CIBERSORT(0.609448524511297), Macrophage M2_CIBERSORT(-0.597460314033194) ) Dualista: 1.73974723203594 ( T cell follicular helper_CIBERSORT(0.581114836054966), T cell CD4+ Th2_XCELL(0.656876970655098), T cell CD4+ naive_CIBERSORT(0.501755425325872) )
(`hsa-miR-1277-3p` + `hsa-miR-29b-3p` + `hsa-miR-3940-3p`)	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.670061327861992 ( T cell CD4+ Th1_XCELL(0.373931489591917), T cell CD4+ memory activated_CIBERSORT(0.296129838270075) ) Pró-tumoral: -0.802020603956388 ( Endothelial cell_XCELL(-0.294927773331682), Cancer associated fibroblast_XCELL(-0.507092830624706) ) Dualista: -0.593726952350935 ( Mast cell activated_CIBERSORT(-0.405749342598034), T cell CD4+ Th2_XCELL(0.283876436439454), Hematopoietic stem cell_XCELL(-0.471854046192355) )
(`hsa-miR-128-1-5p` + `hsa-miR-1301-3p` + `hsa-miR-148b-5p` + `hsa-miR-183-3p` + `hsa-miR-183-5p` + `hsa-miR-20a-3p` + `hsa-miR-20a-5p` + `hsa-miR-210-3p` + `hsa-miR-301a-3p` + `hsa-miR-301a-5p` + `hsa-miR-33a-5p` + `hsa-miR-423-3p` + `hsa-miR-454-3p` + `hsa-miR-505-3p` + `hsa-miR-7-5p` + `hsa-miR-7-5p` + `hsa-miR-92b-3p` + `hsa-miR-96-5p`)	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.26019113081767 ( Common lymphoid progenitor_XCELL(0.26019113081767) ) Pró-tumoral: -0.567488415142172 ( Cancer associated fibroblast_XCELL(-0.286104541708139), Endothelial cell_XCELL(-0.281383873434033) ) Dualista: -0.354470876631717 ( T cell CD4+ Th2_XCELL(0.251897288130188), Mast cell activated_CIBERSORT(-0.261166309993946), Hematopoietic stem cell_XCELL(-0.345201854767959) )
(`hsa-miR-128-1-5p` + `hsa-miR-148b-3p` + `hsa-miR-29c-5p` + `hsa-miR-874-3p`)	THCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0.016998674684857 ( T cell regulatory (Tregs)_CIBERSORT(-0.305047673994639), Endothelial cell_XCELL(0.288048999309782) ) Dualista: 0.200977225701618 ( Class-switched memory B cell_XCELL(-0.357797124287471), Myeloid dendritic cell resting_CIBERSORT(-0.355995890903634), NK cell resting_CIBERSORT(0.265763993828763), B cell plasma_CIBERSORT(0.247051795660724) )
(`hsa-miR-128-1-5p` + `hsa-miR-153-3p` + `hsa-miR-153-5p` + `hsa-miR-153-3p` + `hsa-miR-186-5p` + `hsa-miR-20a-3p` + `hsa-miR-29c-5p` + `hsa-miR-30b-3p` + `hsa-miR-30d-5p` + `hsa-miR-33a-3p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.078089566876776 ( Common lymphoid progenitor_XCELL(-0.297161604303943), T cell CD4+ Th1_XCELL(0.375251171180719) ) Pró-tumoral: 0 (  ) Dualista: -0.123547258738806 ( Class-switched memory B cell_XCELL(0.246713680134612), Hematopoietic stem cell_XCELL(-0.370260938873418) )
(`hsa-miR-128-1-5p` + `hsa-miR-192-3p` + `hsa-miR-20a-3p` + `hsa-miR-30d-3p` + `hsa-miR-423-5p` + `hsa-miR-885-5p`)	BRCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.420383230143737 ( T cell CD4+ Th1_XCELL(0.20531323326049), T cell CD4+ memory activated_CIBERSORT(0.215069996883247) ) Pró-tumoral: -0.678450617034319 ( Cancer associated fibroblast_XCELL(-0.366086623411273), Endothelial cell_XCELL(-0.312363993623046) ) Dualista: -0.225503889990731 ( Mast cell activated_CIBERSORT(-0.304541259449316), T cell CD4+ Th2_XCELL(0.431070032085219), Hematopoietic stem cell_XCELL(-0.352032662626634) )
(`hsa-miR-128-1-5p` + `hsa-miR-3127-5p`)	SKCM	Unchanged			NS	No data
(`hsa-miR-128-1-5p` + `hsa-miR-505-3p` + `hsa-miR-7-5p` + `hsa-miR-7-5p`)	UCEC	Overexpression			NS	No data
(`hsa-miR-128-3p` + `hsa-miR-128-1-5p` + `hsa-miR-129-5p` + `hsa-miR-1301-3p` + `hsa-miR-148b-5p` + `hsa-miR-183-3p` + `hsa-miR-186-5p` + `hsa-miR-197-3p` + `hsa-miR-20a-3p` + `hsa-miR-20a-5p` + `hsa-miR-210-5p` + `hsa-miR-210-3p` + `hsa-miR-24-3p` + `hsa-miR-301a-3p` + `hsa-miR-301a-5p` + `hsa-miR-3127-5p` + `hsa-miR-335-3p` + `hsa-miR-33a-3p` + `hsa-miR-33a-5p` + `hsa-miR-33b-5p` + `hsa-miR-423-3p` + `hsa-miR-454-3p` + `hsa-miR-505-3p` + `hsa-miR-505-5p` + `hsa-miR-7-5p` + `hsa-miR-7-5p` + `hsa-miR-760` + `hsa-miR-9-3p` + `hsa-miR-9-5p` + `hsa-miR-9-5p` + `hsa-miR-9-3p` + `hsa-miR-96-5p` + `hsa-let-7g-3p`)	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.342196469502431 ( Common lymphoid progenitor_XCELL(0.342196469502431) ) Pró-tumoral: -0.814351088351199 ( Endothelial cell_XCELL(-0.429761446240587), Cancer associated fibroblast_XCELL(-0.384589642110612) ) Dualista: -0.691656124801838 ( Hematopoietic stem cell_XCELL(-0.359719510209486), Class-switched memory B cell_XCELL(-0.319210810857428), T cell CD4+ Th2_XCELL(0.295629879645452), B cell memory_CIBERSORT(-0.308355683380376) )
(`hsa-miR-128-3p` + `hsa-miR-1306-3p` + `hsa-miR-130b-3p` + `hsa-miR-130b-5p` + `hsa-miR-18b-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-331-5p` + `hsa-miR-4677-3p` + `hsa-miR-625-3p` + `hsa-miR-625-5p` + `hsa-miR-629-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	THYM	Unchanged	Frio	"c(""""Macrophage M2_CIBERSORT"""", """"Macrophage M1_CIBERSORT"""", """"NK cell activated_CIBERSORT""""), c(-0.734871200896425, -0.659479880858261, -0.608413871822955), c(1, 1, 3), c(""""Cold"""", """"Cold"""", """"Cold"""")"	dualista	Anti-tumoral: 0.634632319875053 ( T cell CD4+ Th1_XCELL(0.5682563930731), Common lymphoid progenitor_XCELL(0.77483423805364), Granulocyte-monocyte progenitor_XCELL(0.559435441429529), Macrophage M1_CIBERSORT(-0.659479880858261), NK cell activated_CIBERSORT(-0.608413871822955) ) Pró-tumoral: -0.070711321953404 ( T cell regulatory (Tregs)_CIBERSORT(0.664159878943021), Macrophage M2_CIBERSORT(-0.734871200896425) ) Dualista: 1.91885491590586 ( T cell CD4+ naive_CIBERSORT(0.623139747631533), T cell follicular helper_CIBERSORT(0.590454690313374), T cell CD4+ Th2_XCELL(0.705260477960949) )
(`hsa-miR-128-3p` + `hsa-miR-1306-5p` + `hsa-miR-1306-3p` + `hsa-miR-1307-3p` + `hsa-miR-130b-3p` + `hsa-miR-130b-5p` + `hsa-miR-15b-5p` + `hsa-miR-191-3p` + `hsa-miR-191-5p` + `hsa-miR-19b-1-5p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-203b-3p` + `hsa-miR-219a-1-3p` + `hsa-miR-3187-3p` + `hsa-miR-32-5p` + `hsa-miR-330-3p` + `hsa-miR-331-3p` + `hsa-miR-339-5p` + `hsa-miR-345-5p` + `hsa-miR-4677-3p` + `hsa-miR-589-3p` + `hsa-miR-589-5p` + `hsa-miR-625-3p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-671-3p` + `hsa-miR-671-5p` + `hsa-miR-744-5p` + `hsa-miR-877-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	UCEC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-128-3p` + `hsa-miR-1307-3p` + `hsa-miR-130b-3p` + `hsa-miR-15b-3p` + `hsa-miR-19b-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-19b-3p` + `hsa-miR-219a-1-3p` + `hsa-miR-331-3p` + `hsa-miR-4677-3p` + `hsa-miR-484` + `hsa-miR-589-3p` + `hsa-miR-589-5p` + `hsa-miR-744-3p` + `hsa-miR-744-5p` + `hsa-miR-877-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	ESCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.430823988813414 ( Cancer associated fibroblast_XCELL(-0.430823988813414) ) Dualista: -0.437843796769509 ( T cell CD4+ Th2_XCELL(0.412436967756784), Mast cell activated_CIBERSORT(-0.426170669683336), Hematopoietic stem cell_XCELL(-0.424110094842957) )
(`hsa-miR-128-3p` + `hsa-miR-1307-5p` + `hsa-miR-130b-3p` + `hsa-miR-194-5p` + `hsa-miR-194-5p` + `hsa-miR-19b-1-5p` + `hsa-miR-32-3p` + `hsa-miR-3613-5p` + `hsa-miR-374a-5p` + `hsa-miR-374b-3p` + `hsa-miR-421` + `hsa-miR-4677-3p` + `hsa-miR-577` + `hsa-miR-660-5p`)	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.059364699525543 ( T cell CD4+ Th1_XCELL(0.431884109074405), Granulocyte-monocyte progenitor_XCELL(-0.372519409548862) ) Pró-tumoral: -0.444327509360714 ( Endothelial cell_XCELL(-0.444327509360714) ) Dualista: -0.539460079461837 ( Hematopoietic stem cell_XCELL(-0.539460079461837) )
(`hsa-miR-128-3p` + `hsa-miR-130b-3p` + `hsa-miR-532-5p`)	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.001123831202473 ( T cell CD4+ Th2_XCELL(0.294697857835486), Hematopoietic stem cell_XCELL(-0.295821689037959) )
(`hsa-miR-128-3p` + `hsa-miR-148b-3p` + `hsa-miR-20a-5p`)	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.308408919198376 ( Endothelial cell_XCELL(-0.308408919198376) ) Dualista: 0.027606648133962 ( Hematopoietic stem cell_XCELL(-0.31357622493681), T cell CD4+ Th2_XCELL(0.341182873070772) )
(`hsa-miR-128-3p` + `hsa-miR-20a-5p`)	THYM	Unchanged	Variável	"c(""""Macrophage M1_CIBERSORT"""", """"Macrophage M2_CIBERSORT"""", """"NK cell activated_CIBERSORT""""), c(-0.651396809226033, -0.75091785193329, -0.60366998034559), c(1, 1, 3), c(""""Cold"""", """"Cold"""", """"Variable"""")"	dualista	Anti-tumoral: 0.659549705735972 ( T cell CD4+ Th1_XCELL(0.536093707444313), Macrophage M1_CIBERSORT(-0.651396809226033), NK cell activated_CIBERSORT(-0.60366998034559), Common lymphoid progenitor_XCELL(0.781179337126816), Granulocyte-monocyte progenitor_XCELL(0.597343450736466) ) Pró-tumoral: -0.0666714363300039 ( T cell regulatory (Tregs)_CIBERSORT(0.684246415603286), Macrophage M2_CIBERSORT(-0.75091785193329) ) Dualista: 1.86783136109803 ( T cell CD4+ Th2_XCELL(0.657510686874178), T cell follicular helper_CIBERSORT(0.592401628751676), T cell CD4+ naive_CIBERSORT(0.617919045472177) )
(`hsa-miR-128-3p` + `hsa-miR-532-3p` + `hsa-miR-584-5p` + `hsa-miR-629-5p` + `hsa-miR-744-5p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.440588564304696 ( Granulocyte-monocyte progenitor_XCELL(-0.315017518736192), Common lymphoid progenitor_XCELL(0.273976885770186), T cell CD4+ Th1_XCELL(0.481629197270702) ) Pró-tumoral: -0.815917052962316 ( Endothelial cell_XCELL(-0.271063771583166), Cancer associated fibroblast_XCELL(-0.54485328137915) ) Dualista: -0.708550076898606 ( B cell memory_CIBERSORT(-0.268676695708425), T cell follicular helper_CIBERSORT(0.26965664355193), Mast cell activated_CIBERSORT(-0.481426925901102), T cell CD4+ Th2_XCELL(0.313770444679), Hematopoietic stem cell_XCELL(-0.541873543520009) )
(`hsa-miR-128-3p` + `hsa-miR-767-3p` + `hsa-miR-767-5p` + `hsa-miR-9-5p`)	LGG	Unchanged	Variável	Macrophage M2_CIBERSORT, -0.333582183552778, 1, Variable	dualista	Anti-tumoral: -0.469460205493711 ( Common lymphoid progenitor_XCELL(-0.469460205493711) ) Pró-tumoral: -0.691995575813305 ( Cancer associated fibroblast_XCELL(-0.358413392260527), Macrophage M2_CIBERSORT(-0.333582183552778) ) Dualista: -0.215707990954741 ( B cell plasma_CIBERSORT(0.455296256423426), T cell CD4+ Th2_XCELL(-0.35632825500961), T cell CD4+ memory resting_CIBERSORT(-0.314675992368557) )
(`hsa-miR-128-3p` + `hsa-miR-9-5p` + `hsa-miR-9-5p`)	LGG	Unchanged	Frio	"c(""""Macrophage M2_CIBERSORT"""", """"T cell regulatory (Tregs)_CIBERSORT""""), c(-0.476165102747159, -0.239257607778059), c(1, 1), c(""""Cold"""", """"Variable"""")"	dualista	Anti-tumoral: -0.472786833378422 ( Common lymphoid progenitor_XCELL(-0.472786833378422) ) Pró-tumoral: -1.44371049044712 ( Macrophage M2_CIBERSORT(-0.476165102747159), Endothelial cell_XCELL(-0.333870018507366), Cancer associated fibroblast_XCELL(-0.394417761414534), T cell regulatory (Tregs)_CIBERSORT(-0.239257607778059) ) Dualista: 0.0643968504071951 ( T cell CD4+ Th2_XCELL(-0.465653021035127), T cell CD4+ memory resting_CIBERSORT(-0.349583182324109), B cell plasma_CIBERSORT(0.586069672078501), T cell CD4+ naive_CIBERSORT(0.29356338168793) )
